info,bottom_level
BH_level,2.27
soil_layer1,-1.73
soil_layer3_1,-14.93
soil_layer3_1j,-14.93
soil_layer3_2,-24.23
soil_layer3_3,-30.83
soil_layer4,-37.93
soil_layer5,-50.73
soil_layer6_2,-56.13
soil_layer6_3,-60.23
soil_layer7_1,-65.93
soil_layer7_2,-67.93
soil_layer8_1,-70.23
soil_layer8_2,-87.73
