info,bottom_level
BH_level,2.65
soil_layer1,0.05
soil_layer3_1,-10.45
soil_layer3_1j,-13.65
soil_layer3_2,-22.75
soil_layer3_3,-35.45
soil_layer4,-37.55
soil_layer5,-48.35
soil_layer6_2,-55.25
soil_layer6_3,-61.05
soil_layer7_1,-65.15
soil_layer7_2,-66.25
soil_layer8_1,-69.95
soil_layer8_2,-85.35
