info,bottom_level
BH_level,2.79
soil_layer1,-0.12
soil_layer3_1,-14.42
soil_layer3_1j,-14.42
soil_layer3_2,-22.82
soil_layer3_3,-34.52
soil_layer4,-39.72
soil_layer5,-50.02
soil_layer6_2,-56.22
soil_layer6_3,-60.32
soil_layer7_1,-64.82
soil_layer7_2,-67.42
soil_layer8_1,-70.02
soil_layer8_2,-85.22
