info,bottom_level
BH_level,2.91
soil_layer1,-0.99
soil_layer3_1,-14.39
soil_layer3_1j,-14.39
soil_layer3_2,-22.29
soil_layer3_3,-34.49
soil_layer4,-36.19
soil_layer5,-49.19
soil_layer6_2,-55.69
soil_layer6_3,-60.89
soil_layer7_1,-65.39
soil_layer7_2,-67.69
soil_layer8_1,-70.29
soil_layer8_2,-85.09
