info,bottom_level
BH_level,2.71
soil_layer1,-3.29
soil_layer3_1,-15.29
soil_layer3_1j,-15.29
soil_layer3_2,-21.49
soil_layer3_3,-34.59
soil_layer4,-36.89
soil_layer5,-47.39
soil_layer6_2,-56.09
soil_layer6_3,-61.59
soil_layer7_1,-66.99
soil_layer7_2,-68.09
soil_layer8_1,-70.29
soil_layer8_2,-85.29
